club,squad_size,avg_age,num_foreigners,market_value,av_market_value
Chelsea,37,23.2,24,403.88e6,10.92e6
Manchester United,33,24.2,18,228.00e6,6.91e6
Liverpool,34,23.6,24,222.50e6,6.54e6
Arsenal,35,22.8,30,221.40e6,6.33e6
Tottenham Hotspur,37,23.1,20,166.85e6,4.51e6
Newcastle United,30,25.0,19,155.20e6,5.17e6
Aston Villa,31,24.8,18,94.08e6,3.03e6
West Ham United,33,25.1,13,93.63e6,2.84e6
Everton,25,25.0,16,91.97e6,3.68e6
Middlesbrough,32,23.2,15,88.45e6,2.76e6
Manchester City,29,24.4,14,87.65e6,3.02e6
Portsmouth,26,26.4,16,78.40e6,3.02e6
Fulham,34,26.3,26,77.35e6,2.28e6
Charlton Athletic,36,24.7,24,74.65e6,2.07e6
Blackburn Rovers,29,26.6,22,72.35e6,2.49e6
Bolton Wanderers,34,24.6,26,62.15e6,1.83e6
Wigan Athletic,29,26.0,18,53.95e6,1.86e6
Sheffield United,36,25.1,18,26.40e6,733e3
Reading,34,24.0,23,23.50e6,691e3
Watford,41,23.1,20,18.75e6,457e3
