club,Squad,ø age,Foreigners,Total MV,ø MV
Man City,38,24.0,27,€510.15m,€13.43m
Man Utd,36,24.1,22,€444.50m,€12.35m
Chelsea,31,25.3,22,€408.50m,€13.18m
Spurs,35,25.1,16,€309.53m,€8.84m
Arsenal,36,23.8,30,€293.75m,€8.16m
Liverpool,38,22.8,19,€275.45m,€7.25m
Newcastle,36,24.1,25,€190.25m,€5.28m
QPR,33,28.1,18,€150.00m,€4.55m
Sunderland,31,25.4,18,€127.00m,€4.10m
Everton,26,25.6,18,€124.80m,€4.80m
Fulham,33,26.9,29,€114.50m,€3.47m
West Ham,34,25.1,18,€114.45m,€3.37m
Aston Villa,31,24.1,19,€101.03m,€3.26m
Stoke City,29,27.6,16,€99.10m,€3.42m
Swansea,29,25.9,25,€88.00m,€3.03m
West Brom,29,25.7,21,€83.00m,€2.86m
Wigan,35,25.0,28,€81.50m,€2.33m
Norwich,34,25.3,16,€70.65m,€2.08m
Southampton,37,24.3,16,€68.85m,€1.86m
Reading,31,25.6,23,€44.00m,€1.42m
