club,Squad,ø age,Foreigners,Total MV,ø MV
Chelsea,38,23.9,28,€526.10m,€13.84m
Man Utd,43,23.9,25,€522.40m,€12.15m
Man City,36,25.4,29,€478.00m,€13.28m
Arsenal,42,23.0,29,€404.35m,€9.63m
Spurs,42,23.7,25,€298.25m,€7.10m
Liverpool,35,23.4,21,€285.00m,€8.14m
Everton,40,24.3,19,€177.50m,€4.44m
Southampton,37,23.5,20,€150.40m,€4.06m
Newcastle,42,22.9,26,€139.85m,€3.33m
Stoke City,30,26.4,23,€128.85m,€4.30m
Aston Villa,38,24.3,20,€127.00m,€3.34m
West Ham,36,24.8,21,€123.00m,€3.42m
Hull City,35,26.0,24,€122.25m,€3.49m
Sunderland,34,24.8,20,€115.25m,€3.39m
QPR,41,25.1,24,€115.05m,€2.81m
Swansea,36,24.3,30,€107.70m,€2.99m
West Brom,34,25.5,22,€100.60m,€2.96m
Crystal Palace,42,26.0,25,€89.30m,€2.13m
Leicester,37,25.9,18,€55.85m,€1.51m
Burnley,30,25.5,13,€36.75m,€1.23m
