club,Squad,ø age,Foreigners,Total MV,ø MV
Chelsea,33,25.5,24,€443.90m,€13.45m
Man Utd,33,25.0,22,€362.95m,€11.00m
Liverpool,30,24.4,24,€336.60m,€11.22m
Man City,40,24.1,24,€314.90m,€7.87m
Arsenal,45,21.7,31,€281.00m,€6.24m
Spurs,41,23.3,20,€249.20m,€6.08m
Everton,42,23.1,23,€221.55m,€5.28m
Aston Villa,31,25.5,13,€160.40m,€5.17m
Sunderland,38,24.5,26,€131.70m,€3.47m
West Ham,35,23.8,20,€118.30m,€3.38m
Portsmouth,45,25.4,29,€99.85m,€2.22m
Fulham,42,25.3,28,€92.80m,€2.21m
Blackburn,35,25.3,29,€90.30m,€2.58m
Bolton,32,25.3,18,€85.33m,€2.67m
Stoke City,37,25.9,18,€76.80m,€2.08m
Hull City,37,26.0,23,€75.65m,€2.04m
Wigan,35,25.4,27,€73.90m,€2.11m
Birmingham,36,25.5,18,€63.50m,€1.76m
Wolves,37,24.1,19,€59.70m,€1.61m
Burnley,33,25.0,20,€38.45m,€1.17m
