club,squad_size,avg_age,num_foreigners,market_value,av_market_value
Chelsea,46,23.7,33,649.65e6,14.12e6
Manchester United,35,25.1,22,645.10e6,18.43e6
Arsenal,45,23.8,27,633.90e6,14.09e6
Manchester City,32,24.1,21,616.35e6,19.26e6
Tottenham Hotspur,34,23.8,22,535.35e6,15.75e6
Liverpool,35,24.0,21,495.00e6,14.14e6
Everton,48,23.9,27,346.75e6,7.22e6
West Ham United,41,24.3,23,264.85e6,6.46e6
Leicester City,34,25.5,21,252.10e6,7.41e6
Southampton,29,24.9,16,247.50e6,8.53e6
Crystal Palace,41,24.8,22,194.43e6,4.74e6
Stoke City,35,25.2,27,177.80e6,5.08e6
Swansea City,36,25.3,32,171.34e6,4.76e6
Watford,37,25.9,27,167.30e6,4.52e6
Newcastle United,37,24.4,24,167.28e6,4.52e6
West Bromwich Albion,33,25.5,17,165.50e6,5.02e6
Bournemouth,35,25.0,13,116.10e6,3.32e6
Brighton & Hove Albion,39,25.8,26,106.75e6,2.74e6
Burnley,30,26.8,16,96.85e6,3.23e6
Huddersfield Town,35,24.6,18,64.40e6,1.84e6
